a;alif;ـا;ـا;ا;ا
b;ba;ـب;ـبـ;بـ;ب
t;ta;ـت;ـتـ;تـ;ت
ṯ|th;tha;ـث;ـثـ;ثـ;ث
j;djim;ـج;ـجـ;جـ;ج
ḥ|H;ha;ـح;ـحـ;حـ;ح
ḵ|kh;kha;ـخ;ـخـ;خـ;خ
d;dal;ـد;ـد;د;د
ḏ|dh;dhal;ـذ;ـذ;ذ;ذ
r;ra;ـر;ـر;ر;ر
z;za;ـز;ـز;ز;ز
s;sin;ـس;ـسـ;سـ;س
š|sh;jin;ـش;ـشـ;شـ;ش
ṣ|S;sad;ـص;ـصـ;صـ;ص
ḍ|D;dad;ـض;ـضـ;ضـ;ض
ṭ|T;ta;ـط;ـطـ;طـ;ط
ẓ|Z;za;ـظ;ـظـ;ظـ;ظ
ʻ|3;3ayn;ـع;ـعـ;عـ;ع
ḡ|gh;ghayn;ـغ;ـغـ;غـ;غ
f;fa;ـف;ـفـ;فـ;ف
q;qaf;ـق;ـقـ;قـ;ق
k;kaf;ـك;ـكـ;كـ;ك
l;lam;ـل;ـلـ;لـ;ل
m;mim;ـم;ـمـ;مـ;م
n;nun;ـن;ـنـ;نـ;ن
h;ha;ـه;ـهـ;هـ;ﻩ
w|u;waw;ـو;ـو;و;و
y|i;ya;ـي;ـيـ;يـ;ي
